URL,favorite,comment,like
https://www.gocomics.com/calvinandhobbes/1986/03/26,57,6,12
https://www.gocomics.com/calvinandhobbes/1986/03/27,51,10,9
https://www.gocomics.com/calvinandhobbes/1986/03/28,87,9,10
https://www.gocomics.com/calvinandhobbes/1986/03/29,29,12,8
https://www.gocomics.com/calvinandhobbes/1986/03/30,49,11,10
https://www.gocomics.com/calvinandhobbes/1986/03/31,64,13,14
https://www.gocomics.com/calvinandhobbes/1986/04/01,86,20,8
https://www.gocomics.com/calvinandhobbes/1986/04/02,40,11,11
https://www.gocomics.com/calvinandhobbes/1986/04/03,28,10,6
https://www.gocomics.com/calvinandhobbes/1986/04/04,47,8,11
https://www.gocomics.com/calvinandhobbes/1986/04/05,107,13,14
https://www.gocomics.com/calvinandhobbes/1986/04/06,37,13,7
https://www.gocomics.com/calvinandhobbes/1986/04/07,111,14,16
https://www.gocomics.com/calvinandhobbes/1986/04/08,80,16,10
https://www.gocomics.com/calvinandhobbes/1986/04/09,48,11,6
https://www.gocomics.com/calvinandhobbes/1986/04/10,37,7,12
https://www.gocomics.com/calvinandhobbes/1986/04/11,54,12,9
https://www.gocomics.com/calvinandhobbes/1986/04/12,80,11,12
https://www.gocomics.com/calvinandhobbes/1986/04/13,89,19,16
https://www.gocomics.com/calvinandhobbes/1986/04/14,105,11,14
https://www.gocomics.com/calvinandhobbes/1986/04/15,25,6,6
https://www.gocomics.com/calvinandhobbes/1986/04/16,50,6,15
https://www.gocomics.com/calvinandhobbes/1986/04/17,135,10,20
https://www.gocomics.com/calvinandhobbes/1986/04/18,43,7,9
https://www.gocomics.com/calvinandhobbes/1986/04/19,55,9,9
https://www.gocomics.com/calvinandhobbes/1986/04/20,30,6,6
https://www.gocomics.com/calvinandhobbes/1986/04/21,33,11,6
https://www.gocomics.com/calvinandhobbes/1986/04/22,32,10,6
https://www.gocomics.com/calvinandhobbes/1986/04/23,20,5,2
https://www.gocomics.com/calvinandhobbes/1986/04/24,112,12,16
https://www.gocomics.com/calvinandhobbes/1986/04/25,41,8,6
https://www.gocomics.com/calvinandhobbes/1986/04/26,37,5,9
https://www.gocomics.com/calvinandhobbes/1986/04/27,48,10,10
https://www.gocomics.com/calvinandhobbes/1986/04/28,40,20,7
https://www.gocomics.com/calvinandhobbes/1986/04/29,35,14,7
https://www.gocomics.com/calvinandhobbes/1986/04/30,51,17,18
https://www.gocomics.com/calvinandhobbes/1986/05/01,67,17,12
https://www.gocomics.com/calvinandhobbes/1986/05/02,54,10,10
https://www.gocomics.com/calvinandhobbes/1986/05/03,75,13,14
https://www.gocomics.com/calvinandhobbes/1986/05/04,68,15,13
https://www.gocomics.com/calvinandhobbes/1986/05/05,61,11,9
https://www.gocomics.com/calvinandhobbes/1986/05/06,100,14,15
https://www.gocomics.com/calvinandhobbes/1986/05/07,20,13,5
https://www.gocomics.com/calvinandhobbes/1986/05/08,34,11,6
https://www.gocomics.com/calvinandhobbes/1986/05/09,21,11,6
https://www.gocomics.com/calvinandhobbes/1986/05/10,59,12,11
https://www.gocomics.com/calvinandhobbes/1986/05/11,39,10,7
https://www.gocomics.com/calvinandhobbes/1986/05/12,21,8,6
https://www.gocomics.com/calvinandhobbes/1986/05/13,35,6,9
https://www.gocomics.com/calvinandhobbes/1986/05/14,27,6,5
https://www.gocomics.com/calvinandhobbes/1986/05/15,30,10,8
https://www.gocomics.com/calvinandhobbes/1986/05/16,25,10,7
https://www.gocomics.com/calvinandhobbes/1986/05/17,32,8,8
https://www.gocomics.com/calvinandhobbes/1986/05/18,29,12,6
https://www.gocomics.com/calvinandhobbes/1986/05/19,42,7,8
https://www.gocomics.com/calvinandhobbes/1986/05/20,114,9,16
https://www.gocomics.com/calvinandhobbes/1986/05/21,28,4,7
https://www.gocomics.com/calvinandhobbes/1986/05/22,27,7,4
https://www.gocomics.com/calvinandhobbes/1986/05/23,34,4,5
https://www.gocomics.com/calvinandhobbes/1986/05/24,60,10,10
https://www.gocomics.com/calvinandhobbes/1986/05/25,125,11,27
https://www.gocomics.com/calvinandhobbes/1986/05/26,81,17,13
https://www.gocomics.com/calvinandhobbes/1986/05/27,50,19,7
https://www.gocomics.com/calvinandhobbes/1986/05/28,61,5,9
https://www.gocomics.com/calvinandhobbes/1986/05/29,21,8,3
https://www.gocomics.com/calvinandhobbes/1986/05/30,23,8,3
https://www.gocomics.com/calvinandhobbes/1986/05/31,49,12,10
https://www.gocomics.com/calvinandhobbes/1986/06/01,76,17,10
https://www.gocomics.com/calvinandhobbes/1986/06/02,33,6,7
https://www.gocomics.com/calvinandhobbes/1986/06/03,43,11,5
https://www.gocomics.com/calvinandhobbes/1986/06/04,39,10,6
https://www.gocomics.com/calvinandhobbes/1986/06/05,62,9,7
https://www.gocomics.com/calvinandhobbes/1986/06/06,34,5,4
https://www.gocomics.com/calvinandhobbes/1986/06/07,72,19,6
https://www.gocomics.com/calvinandhobbes/1986/06/08,27,8,7
https://www.gocomics.com/calvinandhobbes/1986/06/09,33,11,4
https://www.gocomics.com/calvinandhobbes/1986/06/10,45,8,2
https://www.gocomics.com/calvinandhobbes/1986/06/11,84,12,10
https://www.gocomics.com/calvinandhobbes/1986/06/12,51,17,4
https://www.gocomics.com/calvinandhobbes/1986/06/13,38,7,6
https://www.gocomics.com/calvinandhobbes/1986/06/14,65,14,8
https://www.gocomics.com/calvinandhobbes/1986/06/15,83,16,9
https://www.gocomics.com/calvinandhobbes/1986/06/16,57,12,3
https://www.gocomics.com/calvinandhobbes/1986/06/17,24,9,1
https://www.gocomics.com/calvinandhobbes/1986/06/18,70,7,5
https://www.gocomics.com/calvinandhobbes/1986/06/19,56,11,10
https://www.gocomics.com/calvinandhobbes/1986/06/20,30,6,7
https://www.gocomics.com/calvinandhobbes/1986/06/21,49,12,7
https://www.gocomics.com/calvinandhobbes/1986/06/22,40,10,8
https://www.gocomics.com/calvinandhobbes/1986/06/23,47,8,6
https://www.gocomics.com/calvinandhobbes/1986/06/24,54,12,6
https://www.gocomics.com/calvinandhobbes/1986/06/25,27,6,2
https://www.gocomics.com/calvinandhobbes/1986/06/26,34,9,5
https://www.gocomics.com/calvinandhobbes/1986/06/27,45,11,8
https://www.gocomics.com/calvinandhobbes/1986/06/28,73,16,10
https://www.gocomics.com/calvinandhobbes/1986/06/29,81,10,11
https://www.gocomics.com/calvinandhobbes/1986/06/30,31,7,2
https://www.gocomics.com/calvinandhobbes/1986/07/01,58,7,8
https://www.gocomics.com/calvinandhobbes/1986/07/02,44,10,6
https://www.gocomics.com/calvinandhobbes/1986/07/03,29,6,2
https://www.gocomics.com/calvinandhobbes/1986/07/04,131,9,20
https://www.gocomics.com/calvinandhobbes/1986/07/05,16,6,2
https://www.gocomics.com/calvinandhobbes/1986/07/06,44,8,6
https://www.gocomics.com/calvinandhobbes/1986/07/07,15,9,3
https://www.gocomics.com/calvinandhobbes/1986/07/08,25,8,3
https://www.gocomics.com/calvinandhobbes/1986/07/09,38,9,5
https://www.gocomics.com/calvinandhobbes/1986/07/10,26,10,1
https://www.gocomics.com/calvinandhobbes/1986/07/11,25,5,5
https://www.gocomics.com/calvinandhobbes/1986/07/12,19,8,3
https://www.gocomics.com/calvinandhobbes/1986/07/13,42,8,6
https://www.gocomics.com/calvinandhobbes/1986/07/14,16,9,2
https://www.gocomics.com/calvinandhobbes/1986/07/15,43,9,7
https://www.gocomics.com/calvinandhobbes/1986/07/16,50,7,7
https://www.gocomics.com/calvinandhobbes/1986/07/17,14,6,3
https://www.gocomics.com/calvinandhobbes/1986/07/18,43,8,3
https://www.gocomics.com/calvinandhobbes/1986/07/19,11,8,3
https://www.gocomics.com/calvinandhobbes/1986/07/20,29,7,5
https://www.gocomics.com/calvinandhobbes/1986/07/21,26,8,6
https://www.gocomics.com/calvinandhobbes/1986/07/22,31,9,9
https://www.gocomics.com/calvinandhobbes/1986/07/23,22,6,3
https://www.gocomics.com/calvinandhobbes/1986/07/24,35,6,4
https://www.gocomics.com/calvinandhobbes/1986/07/25,29,8,6
https://www.gocomics.com/calvinandhobbes/1986/07/26,21,9,3
https://www.gocomics.com/calvinandhobbes/1986/07/27,17,7,3
https://www.gocomics.com/calvinandhobbes/1986/07/28,30,9,3
https://www.gocomics.com/calvinandhobbes/1986/07/29,38,9,4
https://www.gocomics.com/calvinandhobbes/1986/07/30,34,11,3
https://www.gocomics.com/calvinandhobbes/1986/07/31,20,6,3
https://www.gocomics.com/calvinandhobbes/1986/08/01,24,7,1
https://www.gocomics.com/calvinandhobbes/1986/08/02,41,11,5
https://www.gocomics.com/calvinandhobbes/1986/08/03,42,10,5
https://www.gocomics.com/calvinandhobbes/1986/08/04,60,11,7
https://www.gocomics.com/calvinandhobbes/1986/08/05,33,12,5
https://www.gocomics.com/calvinandhobbes/1986/08/06,61,7,4
https://www.gocomics.com/calvinandhobbes/1986/08/07,30,7,3
